{{Skill
|gem_description                         = Supports projectile attack skills.
|level7_stat_text                        = Supported Skills deal 60% more Chaos Damage over Time<br>Supported Skills deal 60% more Physical Damage over Time<br>Supported Skills deal 60% more Physical Projectile Attack Damage
|level7_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level7_stat1_value                      = 60
|level7_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level7_stat2_value                      = 60
|level7_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level7_stat3_value                      = 60
|level8                                  = True
|level8_level_requirement                = 86
|level8_stat_text                        = Supported Skills deal 61% more Chaos Damage over Time<br>Supported Skills deal 61% more Physical Damage over Time<br>Supported Skills deal 61% more Physical Projectile Attack Damage
|level8_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level8_stat1_value                      = 61
|level8_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level8_stat2_value                      = 61
|level8_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level8_stat3_value                      = 61
|level9                                  = True
|level9_level_requirement                = 88
|level9_stat_text                        = Supported Skills deal 61% more Chaos Damage over Time<br>Supported Skills deal 61% more Physical Damage over Time<br>Supported Skills deal 61% more Physical Projectile Attack Damage
|level9_stat1_id                         = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level9_stat1_value                      = 61
|level9_stat2_id                         = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level9_stat2_value                      = 61
|level9_stat3_id                         = support_projectile_attack_physical_damage_+%_final
|level9_stat3_value                      = 61
|level10                                 = True
|level10_level_requirement               = 90
|level10_stat_text                       = Supported Skills deal 62% more Chaos Damage over Time<br>Supported Skills deal 62% more Physical Damage over Time<br>Supported Skills deal 62% more Physical Projectile Attack Damage
|level10_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level10_stat1_value                     = 62
|level10_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level10_stat2_value                     = 62
|level10_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level10_stat3_value                     = 62
|level11                                 = True
|level11_level_requirement               = 91
|level11_stat_text                       = Supported Skills deal 62% more Chaos Damage over Time<br>Supported Skills deal 62% more Physical Damage over Time<br>Supported Skills deal 62% more Physical Projectile Attack Damage
|level11_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level11_stat1_value                     = 62
|level11_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level11_stat2_value                     = 62
|level11_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level11_stat3_value                     = 62
|level12                                 = True
|level12_level_requirement               = 92
|level12_stat_text                       = Supported Skills deal 63% more Chaos Damage over Time<br>Supported Skills deal 63% more Physical Damage over Time<br>Supported Skills deal 63% more Physical Projectile Attack Damage
|level12_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level12_stat1_value                     = 63
|level12_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level12_stat2_value                     = 63
|level12_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level12_stat3_value                     = 63
|level13                                 = True
|level13_level_requirement               = 93
|level13_stat_text                       = Supported Skills deal 63% more Chaos Damage over Time<br>Supported Skills deal 63% more Physical Damage over Time<br>Supported Skills deal 63% more Physical Projectile Attack Damage
|level13_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level13_stat1_value                     = 63
|level13_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level13_stat2_value                     = 63
|level13_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level13_stat3_value                     = 63
|level14                                 = True
|level14_level_requirement               = 94
|level14_stat_text                       = Supported Skills deal 64% more Chaos Damage over Time<br>Supported Skills deal 64% more Physical Damage over Time<br>Supported Skills deal 64% more Physical Projectile Attack Damage
|level14_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level14_stat1_value                     = 64
|level14_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level14_stat2_value                     = 64
|level14_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level14_stat3_value                     = 64
|level15                                 = True
|level15_level_requirement               = 95
|level15_stat_text                       = Supported Skills deal 64% more Chaos Damage over Time<br>Supported Skills deal 64% more Physical Damage over Time<br>Supported Skills deal 64% more Physical Projectile Attack Damage
|level15_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level15_stat1_value                     = 64
|level15_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level15_stat2_value                     = 64
|level15_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level15_stat3_value                     = 64
|level16                                 = True
|level16_level_requirement               = 96
|level16_stat_text                       = Supported Skills deal 65% more Chaos Damage over Time<br>Supported Skills deal 65% more Physical Damage over Time<br>Supported Skills deal 65% more Physical Projectile Attack Damage
|level16_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level16_stat1_value                     = 65
|level16_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level16_stat2_value                     = 65
|level16_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level16_stat3_value                     = 65
|level17                                 = True
|level17_level_requirement               = 97
|level17_stat_text                       = Supported Skills deal 65% more Chaos Damage over Time<br>Supported Skills deal 65% more Physical Damage over Time<br>Supported Skills deal 65% more Physical Projectile Attack Damage
|level17_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level17_stat1_value                     = 65
|level17_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level17_stat2_value                     = 65
|level17_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level17_stat3_value                     = 65
|level18                                 = True
|level18_level_requirement               = 98
|level18_stat_text                       = Supported Skills deal 66% more Chaos Damage over Time<br>Supported Skills deal 66% more Physical Damage over Time<br>Supported Skills deal 66% more Physical Projectile Attack Damage
|level18_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level18_stat1_value                     = 66
|level18_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level18_stat2_value                     = 66
|level18_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level18_stat3_value                     = 66
|level19                                 = True
|level19_level_requirement               = 99
|level19_stat_text                       = Supported Skills deal 66% more Chaos Damage over Time<br>Supported Skills deal 66% more Physical Damage over Time<br>Supported Skills deal 66% more Physical Projectile Attack Damage
|level19_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level19_stat1_value                     = 66
|level19_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level19_stat2_value                     = 66
|level19_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level19_stat3_value                     = 66
|level20                                 = True
|level20_level_requirement               = 100
|level20_stat_text                       = Supported Skills deal 67% more Chaos Damage over Time<br>Supported Skills deal 67% more Physical Damage over Time<br>Supported Skills deal 67% more Physical Projectile Attack Damage
|level20_stat1_id                        = support_phys_chaos_projectile_chaos_damage_over_time_+%_final
|level20_stat1_value                     = 67
|level20_stat2_id                        = support_phys_chaos_projectile_physical_damage_over_time_+%_final
|level20_stat2_value                     = 67
|level20_stat3_id                        = support_projectile_attack_physical_damage_+%_final
|level20_stat3_value                     = 67
}}
