{{Base item
|rarity_id                               = normal
|level2_stat_text                        = Supported Skills have Added Spell Damage equal to 45% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level2_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level2_stat1_value                      = 45
|level3                                  = True
|level3_level_requirement                = 42
|level3_stat_text                        = Supported Skills have Added Spell Damage equal to 50% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level3_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level3_stat1_value                      = 50
|level4                                  = True
|level4_level_requirement                = 44
|level4_stat_text                        = Supported Skills have Added Spell Damage equal to 55% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level4_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level4_stat1_value                      = 55
|level5                                  = True
|level5_level_requirement                = 46
|level5_stat_text                        = Supported Skills have Added Spell Damage equal to 60% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level5_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level5_stat1_value                      = 60
|level6                                  = True
|level6_level_requirement                = 48
|level6_stat_text                        = Supported Skills have Added Spell Damage equal to 65% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level6_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level6_stat1_value                      = 65
|level7                                  = True
|level7_level_requirement                = 50
|level7_stat_text                        = Supported Skills have Added Spell Damage equal to 70% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level7_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level7_stat1_value                      = 70
|level8                                  = True
|level8_level_requirement                = 52
|level8_stat_text                        = Supported Skills have Added Spell Damage equal to 75% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level8_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level8_stat1_value                      = 75
|level9                                  = True
|level9_level_requirement                = 54
|level9_stat_text                        = Supported Skills have Added Spell Damage equal to 80% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level9_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level9_stat1_value                      = 80
|level10                                 = True
|level10_level_requirement               = 56
|level10_stat_text                       = Supported Skills have Added Spell Damage equal to 85% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level10_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level10_stat1_value                     = 85
|level11                                 = True
|level11_level_requirement               = 58
|level11_stat_text                       = Supported Skills have Added Spell Damage equal to 90% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level11_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level11_stat1_value                     = 90
|level12                                 = True
|level12_level_requirement               = 60
|level12_stat_text                       = Supported Skills have Added Spell Damage equal to 95% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level12_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level12_stat1_value                     = 95
|level13                                 = True
|level13_level_requirement               = 62
|level13_stat_text                       = Supported Skills have Added Spell Damage equal to 100% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level13_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level13_stat1_value                     = 100
|level14                                 = True
|level14_level_requirement               = 64
|level14_stat_text                       = Supported Skills have Added Spell Damage equal to 105% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level14_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level14_stat1_value                     = 105
|level15                                 = True
|level15_level_requirement               = 65
|level15_stat_text                       = Supported Skills have Added Spell Damage equal to 110% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level15_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level15_stat1_value                     = 110
|level16                                 = True
|level16_level_requirement               = 66
|level16_stat_text                       = Supported Skills have Added Spell Damage equal to 115% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level16_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level16_stat1_value                     = 115
|level17                                 = True
|level17_level_requirement               = 67
|level17_stat_text                       = Supported Skills have Added Spell Damage equal to 120% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level17_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level17_stat1_value                     = 120
|level18                                 = True
|level18_level_requirement               = 68
|level18_stat_text                       = Supported Skills have Added Spell Damage equal to 125% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level18_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level18_stat1_value                     = 125
|level19                                 = True
|level19_level_requirement               = 69
|level19_stat_text                       = Supported Skills have Added Spell Damage equal to 130% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level19_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level19_stat1_value                     = 130
|level20                                 = True
|level20_level_requirement               = 70
|level20_stat_text                       = Supported Skills have Added Spell Damage equal to 135% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level20_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level20_stat1_value                     = 135
|level21                                 = True
|level21_level_requirement               = 72
|level21_stat_text                       = Supported Skills have Added Spell Damage equal to 140% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level21_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level21_stat1_value                     = 140
|level22                                 = True
|level22_level_requirement               = 74
|level22_stat_text                       = Supported Skills have Added Spell Damage equal to 145% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level22_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level22_stat1_value                     = 145
|level23                                 = True
|level23_level_requirement               = 76
|level23_stat_text                       = Supported Skills have Added Spell Damage equal to 150% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level23_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level23_stat1_value                     = 150
|level24                                 = True
|level24_level_requirement               = 78
|level24_stat_text                       = Supported Skills have Added Spell Damage equal to 155% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level24_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level24_stat1_value                     = 155
|level25                                 = True
|level25_level_requirement               = 80
|level25_stat_text                       = Supported Skills have Added Spell Damage equal to 160% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level25_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level25_stat1_value                     = 160
|level26                                 = True
|level26_level_requirement               = 82
|level26_stat_text                       = Supported Skills have Added Spell Damage equal to 165% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level26_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level26_stat1_value                     = 165
|level27                                 = True
|level27_level_requirement               = 84
|level27_stat_text                       = Supported Skills have Added Spell Damage equal to 170% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level27_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level27_stat1_value                     = 170
|level28                                 = True
|level28_level_requirement               = 86
|level28_stat_text                       = Supported Skills have Added Spell Damage equal to 175% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level28_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level28_stat1_value                     = 175
|level29                                 = True
|level29_level_requirement               = 88
|level29_stat_text                       = Supported Skills have Added Spell Damage equal to 180% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level29_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level29_stat1_value                     = 180
|level30                                 = True
|level30_level_requirement               = 90
|level30_stat_text                       = Supported Skills have Added Spell Damage equal to 185% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level30_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level30_stat1_value                     = 185
|level31                                 = True
|level31_level_requirement               = 91
|level31_stat_text                       = Supported Skills have Added Spell Damage equal to 187% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level31_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level31_stat1_value                     = 187
|level32                                 = True
|level32_level_requirement               = 92
|level32_stat_text                       = Supported Skills have Added Spell Damage equal to 190% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level32_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level32_stat1_value                     = 190
|level33                                 = True
|level33_level_requirement               = 93
|level33_stat_text                       = Supported Skills have Added Spell Damage equal to 192% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level33_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level33_stat1_value                     = 192
|level34                                 = True
|level34_level_requirement               = 94
|level34_stat_text                       = Supported Skills have Added Spell Damage equal to 195% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level34_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level34_stat1_value                     = 195
|level35                                 = True
|level35_level_requirement               = 95
|level35_stat_text                       = Supported Skills have Added Spell Damage equal to 197% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level35_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level35_stat1_value                     = 197
|level36                                 = True
|level36_level_requirement               = 96
|level36_stat_text                       = Supported Skills have Added Spell Damage equal to 200% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level36_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level36_stat1_value                     = 200
|level37                                 = True
|level37_level_requirement               = 97
|level37_stat_text                       = Supported Skills have Added Spell Damage equal to 202% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level37_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level37_stat1_value                     = 202
|level38                                 = True
|level38_level_requirement               = 98
|level38_stat_text                       = Supported Skills have Added Spell Damage equal to 205% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level38_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level38_stat1_value                     = 205
|level39                                 = True
|level39_level_requirement               = 99
|level39_stat_text                       = Supported Skills have Added Spell Damage equal to 207% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level39_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level39_stat1_value                     = 207
|level40                                 = True
|level40_level_requirement               = 100
|level40_stat_text                       = Supported Skills have Added Spell Damage equal to 210% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level40_stat1_id                        = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level40_stat1_value                     = 210
|gem_description                         = Supports spells that hit enemies. Cannot modify the skills of minions.
|level1_strength_requirement             = 27
|level1_intelligence_requirement         = 40
|level1_experience                       = 0
|level2_strength_requirement             = 29
|level2_intelligence_requirement         = 41
|level2_experience                       = 388734
|level3_strength_requirement             = 30
|level3_intelligence_requirement         = 43
|level3_experience                       = 866171
|level4_strength_requirement             = 31
|level4_intelligence_requirement         = 45
|level4_experience                       = 1449957
|level5_strength_requirement             = 33
|level5_intelligence_requirement         = 47
|level5_experience                       = 2160316
|level6_strength_requirement             = 34
|level6_intelligence_requirement         = 49
|level6_experience                       = 3515827
|level7_strength_requirement             = 35
|level7_intelligence_requirement         = 51
|level7_experience                       = 4654704
|level8_strength_requirement             = 37
|level8_intelligence_requirement         = 53
|level8_experience                       = 6022937
|level9_strength_requirement             = 38
|level9_intelligence_requirement         = 55
|level9_experience                       = 7661275
|level10_strength_requirement            = 39
|level10_intelligence_requirement        = 57
|level10_experience                      = 9617923
|level11_strength_requirement            = 41
|level11_intelligence_requirement        = 58
|level11_experience                      = 13273107
|level12_strength_requirement            = 42
|level12_intelligence_requirement        = 60
|level12_experience                      = 16290434
|level13_strength_requirement            = 43
|level13_intelligence_requirement        = 62
|level13_experience                      = 19866666
|level14_strength_requirement            = 44
|level14_intelligence_requirement        = 64
|level14_experience                      = 24098333
|level15_strength_requirement            = 45
|level15_intelligence_requirement        = 65
|level15_experience                      = 26493411
|level16_strength_requirement            = 46
|level16_intelligence_requirement        = 66
|level16_experience                      = 34914474
|level17_strength_requirement            = 46
|level17_intelligence_requirement        = 67
|level17_experience                      = 51074457
|level18_strength_requirement            = 47
|level18_intelligence_requirement        = 68
|level18_experience                      = 92244824
|level19_strength_requirement            = 48
|level19_intelligence_requirement        = 69
|level19_experience                      = 179039272
|level20_strength_requirement            = 48
|level20_intelligence_requirement        = 70
|level20_experience                      = 336444335
|level21_strength_requirement            = 50
|level21_intelligence_requirement        = 72
}}
